"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/lenale/courses/1dv610/laboration/1dv610-laboration-2/src/Calculator.js", "JavaScript", 10, 8, 5, 23
"/Users/lenale/courses/1dv610/laboration/1dv610-laboration-2/src/Evaluator.js", "JavaScript", 0, 0, 1, 1
"/Users/lenale/courses/1dv610/laboration/1dv610-laboration-2/src/History.js", "JavaScript", 4, 1, 0, 5
"/Users/lenale/courses/1dv610/laboration/1dv610-laboration-2/src/Parser.js", "JavaScript", 66, 54, 15, 135
"Total", "-", 80, 63, 21, 164
