"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/lenale/courses/1dv610/laboration/1dv610-laboration-2/src/ShuntingYard.js", "JavaScript", 42, 41, 12, 95
"Total", "-", 42, 41, 12, 95
